Action,Community,Competition,Excitement,Destruction,Completion,Power,Strategy,Challenge,Fantasy,Story,Discovery,Design
LEVEL,0,2,1,0,0,2,0,2,0,0,0,0
OVERLEVEL,0,0,-2,0,0,2,0,-1,0,0,0,0
EQUAL_LEVEL,0,0,0,0,0,0,2,1,0,0,0,0
BASE_STATS,0,2,0,0,0,0,2,2,0,0,0,0
FULLY_HEAL,1,0,0,0,0,0,2,0,0,0,0,0
POKEDEX_SEEN,0,0,0,0,1,0,0,0,1,1,1,0
POKEDEX_OWN,1,0,0,0,2,1,1,0,2,2,1,1
DISCOVER_NEW_LOCATION,0,0,0,0,2,0,0,0,2,2,2,0
PICK_UP_ITEM,0,0,1,0,2,0,0,-1,0,0,2,0
TALK_TO_NEW_NPC,2,0,0,0,0,0,0,0,2,2,2,0
TRADE_WITH_NPC,2,0,0,-1,0,0,0,0,0,1,1,0
FAINT_WILD_POKEMON,0,0,0,2,0,0,0,-1,0,0,0,0
CATCH_WILD_POKEMON,1,0,0,0,0,0,0,1,0,0,0,0
RUN_FROM_WILD_POKEMON,0,0,0,-2,0,0,0,0,0,0,0,0
WIN_BATTLE_FAST,0,0,2,2,0,0,0,0,0,0,0,0
OWN_POKEMON_FAINT,-2,-1,-1,0,-2,-2,-1,-2,-2,-2,-1,-2
DEFEAT_GYM_TRAINER,0,2,0,2,2,2,0,2,0,2,1,0
DEFEAT_ROCKET_TRAINER,1,2,0,2,2,0,0,0,0,2,0,0
DEFEAT_RIVAL,0,2,0,2,2,0,0,0,0,2,0,0
DEFEAT_NORMAL_TRAINER,0,0,0,2,2,0,0,0,0,0,0,0
DEFEAT_HIGHER_LEVEL_POKEMON,0,0,2,0,0,0,0,2,0,0,0,0
USE_SUPER_EFFECTIVE_MOVE,0,0,0,2,0,1,0,0,0,0,0,0
USE_HRHR_MOVE,0,0,1,2,0,0,0,0,0,0,0,0
USE_GHP_MOVE,0,0,0,0,0,2,1,0,0,0,0,0
USE_STAT_BOOST_MOVE,0,0,-1,1,0,0,2,0,0,0,0,0
USE_STAT_LOWER_MOVE,0,0,-1,0,0,0,2,0,0,0,0,0
USE_STAT_BOOST_ITEM,0,1,0,1,0,2,0,0,0,0,2,0
USE_HEALING_ITEM,0,1,0,0,0,2,2,0,0,0,2,0
USE_SECONDARY_EFFECT_MOVE,0,0,2,1,0,0,2,0,0,0,0,0
